Acceptor,Donor,DOI,Voc (V),Jsc (mA cm^-2),FF,FF (%),PCE,calculated PCE (%),acceptor type,acceptor class,core fused ring size,donor,acceptor ID with shortened chains,Acceptor SMILES,donor ID with shortened chains,Donor SMILES,Acceptor Mol,Donor Mol,Acceptor ECFP10_2048,Donor ECFP10_2048,HOMO_D (eV),HOMO_A (eV,LUMO_D (eV),LUMO_A (eV),Ehl_D (eV),Ehl_A (eV),Eg_D (eV),Eg_A (eV),wavelength_film_D (nm),wavelength_film_A (nm),wavelength_soln_D (nm),wavelength_soln_A (nm),HOMO_A (eV)
L8-BO,PBDB-TF,10.1002/ange.202110550,0.89,26.37,0.7994,79.94,18.77,18.76135842,sm,y,8.0,,Y6,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7fdf587a0120>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fba70>,[0 0 0 ... 0 0 0],[1 0 0 ... 0 0 0],-5.49,-5.68,-3.64,-3.9,1.85,1.7799999999999998,1.8,,618.48,,615.0,,-5.68
N3,D18,10.1088/1674-4926/42/1/010502,0.86,27.44,0.785,78.5,18.56,18.524744,sm,y,8.0,,Y6,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,D18,CCc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC)c(-c6cc7c(-c8cc(F)c(CC)s8)c8sc(-c9sc(-c%10cc%11c%12nsnc%12c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16cc(F)c(CC)s%16)c%16sc(-c%17sc(-c%18cc%19c%20nsnc%20c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24cc(F)c(CC)s%24)c%24sccc%24c(-c%24cc(F)c(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16cc(F)c(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8cc(F)c(CC)s8)c7s6)s5)sc4c3s2)c1,<rdkit.Chem.rdchem.Mol object at 0x7fdf587a00b0>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fba00>,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 1],-5.51,,-2.77,,2.7399999999999998,,,,,,,,
BTP-eC9,PBDB-TF,10.1002/adma.201908205,0.839,26.2,0.811,81.1,17.8,17.8272398,sm,y,12.0,,Y5,CCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7fdf588176f0>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb990>,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0],-5.49,,-3.64,,1.85,,1.8,,618.48,,615.0,,
m-BTP-C6Ph,PTQ10,10.1007/s11426-021-1114-3,0.841,26.95,0.783,78.3,17.74,17.74665585,sm,y,8.0,,m-BTP-PhC6,CCc1cccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cccc(CC)c8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC)c5c4n(CC)c32)c1,PTQ10,CCOc1cnc2c(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6c(F)c(F)c(-c7cccs7)c7ncc(OCC)nc67)s5)c5ncc(OCC)nc45)s3)c(F)c(F)cc2n1,<rdkit.Chem.rdchem.Mol object at 0x7fdf588178b0>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb920>,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 0],-5.54,-5.59,-2.92,-3.86,2.62,1.73,1.93,1.35,,806.0,,728.0,-5.59
eC9-2Cl,PBQx-TF,10.1002/adma.202102420,0.868,25.9,0.786,78.6,17.7,17.6702232,sm,y,8.0,,H2,CCc1c(/C=C2\C(=O)c3ccc(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8ccc(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBQx-TF,CCc1csc(-c2cc3c(s2)-c2sc(-c4cc(CC)c(-c5cc6c(-c7cc(F)c(CC)s7)c7sc(-c8sc(-c9cc%10c(s9)-c9sc(-c%11cc(CC)c(-c%12cc%13c(-c%14cc(F)c(CC)s%14)c%14sc(-c%15sc(-c%16cc%17c(s%16)-c%16sc(-c%18cc(CC)c(-c%19cc%20c(-c%21cc(F)c(CC)s%21)c%21sccc%21c(-c%21cc(F)c(CC)s%21)c%20s%19)s%18)cc%16[C@H]%16N=CC=N[C@H]%17%16)cc%15CC)cc%14c(-c%14cc(F)c(CC)s%14)c%13s%12)s%11)cc9[C@H]9N=CC=N[C@H]%109)cc8CC)cc7c(-c7cc(F)c(CC)s7)c6s5)s4)cc2[C@H]2N=CC=N[C@H]32)c1,<rdkit.Chem.rdchem.Mol object at 0x7fdf58817920>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb8b0>,[0 1 0 ... 0 0 0],[0 0 0 ... 0 0 1],-5.41,-5.57,-2.82,-3.74,2.5900000000000003,1.83,,,,,,,-5.57
BTP-4Cl,PBDB-TF,10.1002/anie.202102622,0.838,26.7,0.79,79.0,17.7,17.675934,sm,y,8.0,,BTP-4Cl,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7fdf58817990>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb840>,[0 0 0 ... 0 0 0],[1 0 0 ... 0 0 0],-5.49,-5.66,-3.64,-4.14,1.85,1.5200000000000005,1.8,,618.48,,615.0,,-5.66
eC9,P5T-2F,10.1021/acsmaterialslett.1c00328,0.837,26.5,0.789,78.9,17.7,17.5004145,sm,y,8.0,,BTP-4Cl,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,P5T-2F,CCc1sc(CC)c2c1C(=O)c1c(-c3ccc(-c4cc(F)cs4)s3)sc(-c3ccc(-c4cc(F)c(-c5sc(-c6ccc(-c7sc(-c8ccc(-c9cc(F)c(-c%10sc(-c%11ccc(-c%12sc(-c%13ccc(-c%14cc(F)cs%14)s%13)c%13c%12C(=O)c%12c(CC)sc(CC)c%12C%13=O)s%11)cc%10F)s9)s8)c8c7C(=O)c7c(CC)sc(CC)c7C8=O)s6)cc5F)s4)s3)c1C2=O,<rdkit.Chem.rdchem.Mol object at 0x7fdf58817a00>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb7d0>,[0 0 0 ... 0 0 0],[1 0 0 ... 0 0 0],-5.51,,-3.56,,1.9499999999999997,,,,,,,,
Y6-Se,D18,10.1021/jacs.0c08557,0.839,27.98,0.753,75.3,17.7,17.67684066,sm,y,8.0,,Y6-Se,CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4n[se]nc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,D18,CCc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC)c(-c6cc7c(-c8cc(F)c(CC)s8)c8sc(-c9sc(-c%10cc%11c%12nsnc%12c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16cc(F)c(CC)s%16)c%16sc(-c%17sc(-c%18cc%19c%20nsnc%20c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24cc(F)c(CC)s%24)c%24sccc%24c(-c%24cc(F)c(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16cc(F)c(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8cc(F)c(CC)s8)c7s6)s5)sc4c3s2)c1,<rdkit.Chem.rdchem.Mol object at 0x7fdf58817a70>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb760>,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 1],-5.51,-5.63,-2.77,-3.99,2.7399999999999998,1.6399999999999997,,1.31,,,,745.0,-5.63
BTP-S9,PBDB-TF,10.1038/s41467-021-24937-5,0.846,26.47,0.7844,78.44,17.56,17.56555553,sm,y,8.0,,BTP-S9,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9cc(F)c(F)cc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7fdf58817ae0>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb6f0>,[0 0 0 ... 0 0 0],[1 0 0 ... 0 0 0],-5.49,-5.63,-3.64,-4.09,1.85,1.54,1.8,,618.48,,615.0,,-5.63
A-WSSe-Cl,PBDB-TF,10.1002/anie.202104766,0.85,26.58,0.775,77.5,17.51,17.509575,sm,y,8.0,,A-WSSe-Cl,CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)[se]c6c5n(CC)c4c3n(CC)c21,PBDB-TF,CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7fdf58817b50>,<rdkit.Chem.rdchem.Mol object at 0x7fdf587fb680>,[0 0 0 ... 0 0 0],[1 0 0 ... 0 0 0],-5.49,-5.7,-3.64,-3.86,1.85,1.8400000000000003,1.8,1.31,618.48,840.0,615.0,758.0,-5.7
