Label,Type,Missing_From,ChemDraw_Comments
PBDT-BT,donor,Google Sheets,
PBDTTEH-DTEHBTff,donor,Google Sheets,
PBDTbNPFBT,donor,Google Sheets,
PC-DTBTz,donor,Google Sheets,
P2T,donor,Google Sheets,
PBDTT-DFBO,donor,Google Sheets,
PBDTaNPFBT,donor,Google Sheets,
PBDT(T)[2H]T,donor,Google Sheets,
P1T,donor,Google Sheets,
PBDT-DTTBT,donor,Google Sheets,
PBDT-TBT,donor,Google Sheets,
PBDT-DFBO,donor,Google Sheets,
PBDT-TBT-C8,donor,Google Sheets,
P2F-EHp,donor,Google Sheets,
PBDT-BX,donor,Google Sheets,
SO-PBDT,donor,Google Sheets,
PBDT-DTBX,donor,Google Sheets,
PBDTTDD-DTHBTff,donor,Google Sheets,
O-PBDT,donor,Google Sheets,
PBDT-TBT-C6,donor,Google Sheets,
PBDT-TTBT,donor,Google Sheets,
PBDT-TTBTT,donor,Google Sheets,
PBDT-ST,donor,Google Sheets,
2TC-TC-BDTFT,donor,Google Sheets,
S-PBDT,donor,Google Sheets,
PTZI,donor,Google Sheets,
PBDT-tt-BT,donor,Google Sheets,
PBDT-DTBT,donor,Google Sheets,
PBDT-DTBTz,donor,Google Sheets,
PBDT-DTffBT-F-DTffBT,donor,Google Sheets,
PBDTF-DFBO,donor,Google Sheets,
PF-tt-BT,donor,Google Sheets,
P0T,donor,Google Sheets,
P1,donor,Google Sheets,
PBDT-TBT-C10,donor,Google Sheets,
PBDT-KTBDT,donor,Google Sheets,
PBDTTEH-DTHBTff,donor,Google Sheets,
PF-DTffBT,donor,Google Sheets,
PBDT-DODTBT,donor,Google Sheets,
PC-tt-BT,donor,Google Sheets,
P,donor,Google Sheets,
PBDT-DTffBT,donor,Google Sheets,
PBDT-TBT-C12,donor,Google Sheets,
PBDT-ROBT,donor,Google Sheets,
PRFBDT-BZS,donor,Google Sheets,
PBDT-2T-ROBT,donor,Google Sheets,
P3_PDTB-EF-T,donor,ChemDraw,
PBT1-C-2Cl,donor,ChemDraw,
PBDB-T2Cl,donor,ChemDraw,
2TC-TT-BDTFT,donor,ChemDraw,
PBDS-T,donor,ChemDraw,
PBDB-T-2F,donor,ChemDraw,
PTFBDT-BZS,donor,ChemDraw,
P1_PDTB-EF-T,donor,ChemDraw,
PBDTS-Se-TAZ,donor,ChemDraw,
PFBDB-T,donor,ChemDraw,
P2F-Ehp,donor,ChemDraw,
J101,donor,ChemDraw,
PBDB-ST,donor,ChemDraw,
P_dFBT-DTS,donor,ChemDraw,
PBTA-TF,donor,ChemDraw,
PBDB-T-2Cl,donor,ChemDraw,
PBDTT-6ttTPD,donor,ChemDraw,
P3HT,donor,ChemDraw,
PTZ1,donor,ChemDraw,
PM6,donor,ChemDraw,
PBT1-C-MW,donor,ChemDraw,
P_TBTT-BTT,donor,ChemDraw,
P1_BDT-TBT,donor,ChemDraw,
P2_PDTB-EF-T,donor,ChemDraw,
PBDTS-TzBI,donor,ChemDraw,
PBFTT,donor,ChemDraw,
ITIC-OM-2,acceptor,Google Sheets,
IDT-Se-4F,acceptor,Google Sheets,
ITIC-OM-3,acceptor,Google Sheets,
ATT-8,acceptor,Google Sheets,
PY-1,acceptor,Google Sheets,
ITIC-Cl,acceptor,Google Sheets,
CzC8,acceptor,Google Sheets,
ITIC-OM-4,acceptor,Google Sheets,
IDT-T-4F,acceptor,Google Sheets,
IDT-TT-4F,acceptor,Google Sheets,
ITIC-OM-1,acceptor,Google Sheets,
NTIC-Ome,acceptor,Google Sheets,
IDT-BO6,acceptor,Google Sheets,
NFBDT-Cl,acceptor,Google Sheets,
IDT-FBTB,acceptor,Google Sheets,
6TIC-2F,acceptor,Google Sheets,
IDT-B6,acceptor,Google Sheets,
N6,acceptor,ChemDraw,
BT-F,acceptor,ChemDraw,
C8-ITIC,acceptor,ChemDraw,
IDT-2BR,acceptor,ChemDraw,
IDT-BC6,acceptor,ChemDraw,
FOIC,acceptor,ChemDraw,
F-ITIC,acceptor,ChemDraw,
NAI-FN-NAI(DT),acceptor,ChemDraw,
ITIC-F,acceptor,ChemDraw,
NCBDT-4Cl,acceptor,ChemDraw,
IT-4Cl,acceptor,ChemDraw,
CZC8,acceptor,ChemDraw,
F6IC,acceptor,ChemDraw,
NTIC,acceptor,ChemDraw,
ITDM,acceptor,ChemDraw,
PY1,acceptor,ChemDraw,
F9IC,acceptor,ChemDraw,
IT-OM-4,acceptor,ChemDraw,
N4,acceptor,ChemDraw,
IDTO-Se-4F,acceptor,ChemDraw,
PI-FN-PI(DT),acceptor,ChemDraw,
IHIC,acceptor,ChemDraw,
IDT-FBTR,acceptor,ChemDraw,
IDIC-4H,acceptor,ChemDraw,
DICTF-C10,acceptor,ChemDraw,
IDTO-T-4F,acceptor,ChemDraw,
IT-OM-3,acceptor,ChemDraw,
IDTO-TT-4F,acceptor,ChemDraw,
ITVfIC,acceptor,ChemDraw,
ITIC-Cl4,acceptor,ChemDraw,
BT-2F,acceptor,ChemDraw,
IT-OM-1,acceptor,ChemDraw,
F-H,acceptor,ChemDraw,
BTA2,acceptor,ChemDraw,
IT-OM-2,acceptor,ChemDraw,
p-IDTIDT-IC,acceptor,ChemDraw,
IT-IC,acceptor,ChemDraw,
ATT-3,acceptor,ChemDraw,
IDTT-T,acceptor,ChemDraw,
IDT-BOC6,acceptor,ChemDraw,
NFBDT-Me,acceptor,ChemDraw,
NTIC-OMe,acceptor,ChemDraw,
N3,acceptor,ChemDraw,
